a1,a2,t-3,t-2,t-1,t
201.8571429,1424,2.5,2.7,2.7,2.6
242.8571429,1326.571429,2.7,2.7,2.6,2.7
152.8571429,1141.142857,2.7,2.6,2.7,2.6
111.4285714,993.2857143,2.6,2.7,2.6,3.1
62.71428571,735.4285714,2.7,2.6,3.1,2.5
68.28571429,847,2.6,3.1,2.5,2.4
93.42857143,1058.428571,3.1,2.5,2.4,2.7
113.8571429,1101,2.5,2.4,2.7,2.6
117.2857143,1092.714286,2.4,2.7,2.6,2.6
103,1180.428571,2.7,2.6,2.6,2.6
98.85714286,1126.142857,2.6,2.6,2.6,3.2
96.85714286,1130.857143,2.6,2.6,3.2,3.3
333.1428571,1219.285714,2.6,3.2,3.3,3.4
337.4285714,1364,3.2,3.3,3.4,3.2
246.7142857,1143.142857,3.3,3.4,3.2,3.6
184.4285714,993,3.4,3.2,3.6,3
147,775.2857143,3.2,3.6,3,3.3
136.8571429,725.5714286,3.6,3,3.3,3.3
121.2857143,640.1428571,3,3.3,3.3,3.5
107.7142857,595.5714286,3.3,3.3,3.5,3.5
94,602.1428571,3.3,3.5,3.5,3.7
60.42857143,603.8571429,3.5,3.5,3.7,3.4
34.42857143,606.1428571,3.5,3.7,3.4,3.4
24.42857143,572.5714286,3.7,3.4,3.4,3.5
25.71428571,608.2857143,3.4,3.4,3.5,3.4
0,626.4285714,3.4,3.5,3.4,3.3
17.71428571,670.1428571,3.5,3.4,3.3,3.2
0,739.5714286,3.4,3.3,3.2,3.3
8.714285714,807.4285714,3.3,3.2,3.3,3.5
16.85714286,832.7142857,3.2,3.3,3.5,3.2
25.57142857,847.5714286,3.3,3.5,3.2,3.1
17.28571429,856.4285714,3.5,3.2,3.1,3
52,895.2857143,3.2,3.1,3,3
51,899.5714286,3.1,3,3,3
80.14285714,997.5714286,3,3,3,3.2
51.28571429,991.2857143,3,3,3.2,2.5
51.71428571,952.7142857,3,3.2,2.5,3
43.85714286,1085.857143,3.2,2.5,3,2.8
42.14285714,899.1428571,2.5,3,2.8,2.5
78.71428571,1036.285714,3,2.8,2.5,2.5
91.28571429,1033.714286,2.8,2.5,2.5,2.7
98.85714286,1132.714286,2.5,2.5,2.7,2.6
87.85714286,1141.285714,2.5,2.7,2.6,2.4
98.14285714,1114.571429,2.7,2.6,2.4,2.6
69.71428571,1064.142857,2.6,2.4,2.6,2.5
71.28571429,1181.571429,2.4,2.6,2.5,2.9
106.7142857,1158.142857,2.6,2.5,2.9,2.9
119,1297.714286,2.5,2.9,2.9,3.1
123.8571429,1321.285714,2.9,2.9,3.1,3.3
118.8571429,1263.285714,2.9,3.1,3.3,4
95.85714286,1328,3.1,3.3,4,3.9
132,1334.285714,3.3,4,3.9,3.6
138,1412.428571,4,3.9,3.6,3.4
104.2857143,1271.714286,3.9,3.6,3.4,4.3
125.2857143,1216.142857,3.6,3.4,4.3,3.5
65.71428571,809.4285714,3.4,4.3,3.5,2.7
60.71428571,860.4285714,4.3,3.5,2.7,2.6
87.14285714,949.2857143,3.5,2.7,2.6,2.8
80.42857143,976.7142857,2.7,2.6,2.8,2.8
112.8571429,1006.142857,2.6,2.8,2.8,2.9
111,1142,2.8,2.8,2.9,3
108,1196,2.8,2.9,3,3.1
88.14285714,1120.571429,2.9,3,3.1,3.2
79.14285714,936.7142857,3,3.1,3.2,3.2
50.14285714,891.2857143,3.1,3.2,3.2,3.1
51,923,3.2,3.2,3.1,3.1
45,844.1428571,3.2,3.1,3.1,3.2
53.71428571,910,3.1,3.1,3.2,2.9
26,815.7142857,3.1,3.2,2.9,3.1
25.57142857,992,3.2,2.9,3.1,3.2
52.57142857,888.4285714,2.9,3.1,3.2,3.6
42.85714286,835.5714286,3.1,3.2,3.6,3.7
17.28571429,780.4285714,3.2,3.6,3.7,3.6
34.42857143,860.1428571,3.6,3.7,3.6,3.4
35.57142857,900.4285714,3.7,3.6,3.4,3.4
34.14285714,809,3.6,3.4,3.4,3.5
34.57142857,755.5714286,3.4,3.4,3.5,3.5
25.14285714,776.2857143,3.4,3.5,3.5,3.5
17.85714286,762,3.5,3.5,3.5,
34.42857143,781.4285714,3.5,3.5,,3.3
16.28571429,845.4285714,3.5,,3.3,3.2
16.28571429,872.1428571,,3.3,3.2,2.9
8.142857143,953.7142857,3.3,3.2,2.9,2.8
8.142857143,1063.428571,3.2,2.9,2.8,2.7
16.85714286,1107,2.9,2.8,2.7,2.8
76,1099.857143,2.8,2.7,2.8,2.9
54,1124.571429,2.7,2.8,2.9,2.6
53,1248.142857,2.8,2.9,2.6,2.7
28.57142857,1341.428571,2.9,2.6,2.7,3
27.42857143,1295.714286,2.6,2.7,3,2.6
0,1046.571429,2.7,3,2.6,2.4
54.42857143,1279,3,2.6,2.4,2.4
43.85714286,1239.571429,2.6,2.4,2.4,2.4
44.14285714,1130.428571,2.4,2.4,2.4,2.3
99.42857143,1180.428571,2.4,2.4,2.3,
72.42857143,1234.714286,2.4,2.3,,2.4
82,1258.571429,2.3,,2.4,2.4
71.85714286,1301.142857,,2.4,2.4,2.3
90.57142857,1295.571429,2.4,2.4,2.3,2.3
111,1336.285714,2.4,2.3,2.3,2.5
125.5714286,1379,2.3,2.3,2.5,2.7
135.7142857,1480.428571,2.3,2.5,2.7,2.9
134.8571429,1478.285714,2.5,2.7,2.9,2.8
125,1531.857143,2.7,2.9,2.8,3
116.2857143,1474,2.9,2.8,3,3.2
116.4285714,1336.428571,2.8,3,3.2,3
102.7142857,1309.428571,3,3.2,3,2.8
73.85714286,1253.428571,3.2,3,2.8,2.7
86.42857143,1246.571429,3,2.8,2.7,3.6
62.85714286,1188.571429,2.8,2.7,3.6,2.7
62,990.5714286,2.7,3.6,2.7,2.4
65,1216.714286,3.6,2.7,2.4,
107.1428571,1289.428571,2.7,2.4,,2.7
90.42857143,1223,2.4,,2.7,2.8
76.85714286,1207.857143,,2.7,2.8,2.8
91.71428571,1220.857143,2.7,2.8,2.8,2.8
37.42857143,1160.285714,2.8,2.8,2.8,2.9
63.28571429,1234.142857,2.8,2.8,2.9,2.9
77.28571429,1196,2.8,2.9,2.9,3
62.28571429,1150.714286,2.9,2.9,3,2.9
43.85714286,988.8571429,2.9,3,2.9,3.1
26,1062,3,2.9,3.1,
35.28571429,1025.142857,2.9,3.1,,3.5
44.28571429,994.2857143,3.1,,3.5,4
63.42857143,888.2857143,,3.5,4,4.1
36.57142857,936.1428571,3.5,4,4.1,4.1
78.85714286,1019.857143,4,4.1,4.1,4.1
66.71428571,1017.857143,4.1,4.1,4.1,3.9
35.85714286,1028.142857,4.1,4.1,3.9,3.6
17.85714286,1024,4.1,3.9,3.6,3.6
8.571428571,1073.142857,3.9,3.6,3.6,3.6
17.71428571,1041.285714,3.6,3.6,3.6,3.8
8.714285714,1109.857143,3.6,3.6,3.8,3.3
17.71428571,1126.142857,3.6,3.8,3.3,3.1
8.714285714,1169.142857,3.8,3.3,3.1,2.9
9.142857143,1202.857143,3.3,3.1,2.9,2.9
8.714285714,1197.857143,3.1,2.9,2.9,2.8
17.28571429,1230.714286,2.9,2.9,2.8,2.6
63.14285714,1206.857143,2.9,2.8,2.6,2.7
51.85714286,1236,2.8,2.6,2.7,2.7
28,1258.571429,2.6,2.7,2.7,2.8
27.42857143,1183.714286,2.7,2.7,2.8,2.4
0,1110.285714,2.7,2.8,2.4,2.5
18.42857143,1193.571429,2.8,2.4,2.5,2.5
26.42857143,1207.428571,2.4,2.5,2.5,2.5
25.85714286,1180.428571,2.5,2.5,2.5,2.4
36.42857143,1179.857143,2.5,2.5,2.4,2.4
52,1230.714286,2.5,2.4,2.4,2.6
81.85714286,1201.857143,2.4,2.4,2.6,2.5
53.42857143,1200.857143,2.4,2.6,2.5,2.6
60.57142857,1258.714286,2.6,2.5,2.6,2.6
48.85714286,1325.857143,2.5,2.6,2.6,2.8
62.14285714,1319.571429,2.6,2.6,2.8,3
44.42857143,1353.571429,2.6,2.8,3,3.2
108.8571429,1344,2.8,3,3.2,3.2
55.71428571,1306.428571,3,3.2,3.2,3.2
90.57142857,1358.428571,3.2,3.2,3.2,3.4
91.28571429,1310.714286,3.2,3.2,3.4,3
64.28571429,1279.285714,3.2,3.4,3,3
61.14285714,1275.428571,3.4,3,3,4.6
34.57142857,1168.142857,3,3,4.6,3
17.42857143,1097.142857,3,4.6,3,3
115.7142857,1310,4.6,3,3,3.4
102.2857143,1230.571429,3,3,3.4,3.6
127.7142857,1210.142857,3,3.4,3.6,3.9
145.7142857,1228.285714,3.4,3.6,3.9,4.1
201,1262,3.6,3.9,4.1,4
190.2857143,1256.714286,3.9,4.1,4,4
157.1428571,1221,4.1,4,4,3.7
138.2857143,1168.428571,4,4,3.7,3.5
89.28571429,1016.142857,4,3.7,3.5,3.5
53.28571429,1030,3.7,3.5,3.5,3.7
26.14285714,1160.142857,3.5,3.5,3.7,3.6
9.285714286,1320,3.5,3.7,3.6,3.5
8.714285714,1274.571429,3.7,3.6,3.5,3.3
8.714285714,1204.142857,3.6,3.5,3.3,3.4
0,1227,3.5,3.3,3.4,3.5
8.714285714,1133.285714,3.3,3.4,3.5,3.3
9.285714286,918.1428571,3.4,3.5,3.3,3.4
8.714285714,875.2857143,3.5,3.3,3.4,3.3
17.42857143,825.8571429,3.3,3.4,3.3,3.3
0,871.4285714,3.4,3.3,3.3,3.1
9.142857143,844.7142857,3.3,3.3,3.1,3
8.714285714,868.5714286,3.3,3.1,3,2.9
0,959.7142857,3.1,3,2.9,2.8
0,1025.571429,3,2.9,2.8,2.8
0,1071.428571,2.9,2.8,2.8,2.8
0,1105.714286,2.8,2.8,2.8,2.7
0,1134.714286,2.8,2.8,2.7,2.6
0,1160.857143,2.8,2.7,2.6,2.6
8.714285714,1184.285714,2.7,2.6,2.6,2.9
26.14285714,1127.285714,2.6,2.6,2.9,2.8
17.85714286,1089.285714,2.6,2.9,2.8,2.6
8.714285714,1167.714286,2.9,2.8,2.6,2.8
0,1115.285714,2.8,2.6,2.8,2.5
17.71428571,1096.571429,2.6,2.8,2.5,2.7
26.42857143,1177.571429,2.8,2.5,2.7,2.8
34.85714286,1171.714286,2.5,2.7,2.8,2.8
19.28571429,1190.285714,2.7,2.8,2.8,3
47.28571429,1241.285714,2.8,2.8,3,3.1
45.28571429,1230.714286,2.8,3,3.1,3.1
72.28571429,1206.285714,3,3.1,3.1,3.2
46.85714286,1249,3.1,3.1,3.2,3.3
90,1232.714286,3.1,3.2,3.3,3.2
114.8571429,1245.571429,3.2,3.3,3.2,3.3
96,1253.142857,3.3,3.2,3.3,3.3
92.71428571,1214,3.2,3.3,3.3,3.3
74.42857143,1243.428571,3.3,3.3,3.3,3.1
17.71428571,1197.285714,3.3,3.3,3.1,2.9
53.14285714,1195.857143,3.3,3.1,2.9,3.3
18,1198,3.1,2.9,3.3,3.5
8.714285714,1049.571429,2.9,3.3,3.5,2.6
0,1114.142857,3.3,3.5,2.6,2.7
81.42857143,1213.857143,3.5,2.6,2.7,2.8
114.7142857,1189.857143,2.6,2.7,2.8,3
125.1428571,1181.571429,2.7,2.8,3,3
109.1428571,1216.428571,2.8,3,3,3
106.8571429,1244.857143,3,3,3,3
128.1428571,1286.428571,3,3,3,3.1
117.1428571,1266.714286,3,3,3.1,3.4
86.28571429,1264.571429,3,3.1,3.4,3.2
45.14285714,1178.428571,3.1,3.4,3.2,3.2
53.14285714,1202.142857,3.4,3.2,3.2,3.1
27.14285714,1171.285714,3.2,3.2,3.1,3.2
8.714285714,1178.142857,3.2,3.1,3.2,3.3
9.428571429,1170.571429,3.1,3.2,3.3,3.3
28.14285714,1174.714286,3.2,3.3,3.3,3.4
9,1176.571429,3.3,3.3,3.4,3.6
0,1199.714286,3.3,3.4,3.6,3.4
0,1175.142857,3.4,3.6,3.4,3.5
26.57142857,1214.428571,3.6,3.4,3.5,3.8
8.714285714,1173.571429,3.4,3.5,3.8,3.7
0,1226.857143,3.5,3.8,3.7,4.2
27.14285714,1267.571429,3.8,3.7,4.2,4.3
26.57142857,1259.714286,3.7,4.2,4.3,4.1
70,1313.857143,4.2,4.3,4.1,4
64.42857143,1347,4.3,4.1,4,3.6
73,1332.428571,4.1,4,3.6,3.6
105.1428571,1356,4,3.6,3.6,3.6
210,1447.571429,3.6,3.6,3.6,3.4
114.2857143,1498.142857,3.6,3.6,3.4,3.4
67.85714286,1743.714286,3.6,3.4,3.4,3.1
74.85714286,1789.428571,3.4,3.4,3.1,3.3
102,1824.714286,3.4,3.1,3.3,3.1
63.71428571,1869.285714,3.1,3.3,3.1,3
110.7142857,1770.428571,3.3,3.1,3,3.7
44.85714286,1531.428571,3.1,3,3.7,
8.714285714,1463.428571,3,3.7,,
53.14285714,1664.571429,3.7,,,2.9
88.42857143,1572.428571,,,2.9,3
62.85714286,1703.142857,,2.9,3,2.9
81.85714286,1666.285714,2.9,3,2.9,2.8
95.28571429,1487.571429,3,2.9,2.8,3.1
109.8571429,1446.571429,2.9,2.8,3.1,3.3
132.5714286,1502.285714,2.8,3.1,3.3,3.5
138.7142857,1494.714286,3.1,3.3,3.5,3.6
159.8571429,1638.142857,3.3,3.5,3.6,4.3
184.5714286,1751.428571,3.5,3.6,4.3,5
214.7142857,1850.857143,3.6,4.3,5,6
378.1428571,3023.285714,4.3,5,6,6
374.7142857,2197.714286,5,6,6,6.7
437.5714286,2339.428571,6,6,6.7,5.9
449.8571429,2389.857143,6,6.7,5.9,5.1
274.5714286,2047.857143,6.7,5.9,5.1,4.7
179.5714286,1791.857143,5.9,5.1,4.7,5.6
142.8571429,1693,5.1,4.7,5.6,4.7
160.2857143,1329.142857,4.7,5.6,4.7,4
155,1454.714286,5.6,4.7,4,3.7
250.5714286,1459,4.7,4,3.7,3.6
213.4285714,1441,4,3.7,3.6,3.6
190.4285714,1563.142857,3.7,3.6,3.6,3.6
171.8571429,1679.285714,3.6,3.6,3.6,3.7
152.2857143,1601.571429,3.6,3.6,3.7,3.5
124.4285714,1566,3.6,3.7,3.5,3.6
119.2857143,1506.142857,3.7,3.5,3.6,3.6
115.5714286,1461,3.5,3.6,3.6,3.7
83.28571429,1295.428571,3.6,3.6,3.7,3.7
80,1203.428571,3.6,3.7,3.7,4
63,1198.428571,3.7,3.7,4,
53,1138.285714,3.7,4,,4.2
52,1160,4,,4.2,4.2
25.57142857,1164.571429,,4.2,4.2,4
35.42857143,1149.571429,4.2,4.2,4,3.8
35.14285714,1123.285714,4.2,4,3.8,3.6
26.14285714,1124.428571,4,3.8,3.6,3.3
8.428571429,1090.714286,3.8,3.6,3.3,3.2
8.428571429,1111.428571,3.6,3.3,3.2,
17.71428571,1130,3.3,3.2,,3
0,1138.857143,3.2,,3,3
34.85714286,1181.571429,,3,3,2.8
0,1265.142857,3,3,2.8,
17.14285714,1388.428571,3,2.8,,2.6
44.28571429,1387,2.8,,2.6,2.6
43,1395.285714,,2.6,2.6,2.7
54,1196.714286,2.6,2.6,2.7,2.7
95.57142857,1216,2.6,2.7,2.7,2.9
74,1214.428571,2.7,2.7,2.9,2.9
45.42857143,1211.428571,2.7,2.9,2.9,3.4
54.42857143,1359.857143,2.9,2.9,3.4,2.5
35.42857143,1533.285714,2.9,3.4,2.5,2.6
73.28571429,1779.428571,3.4,2.5,2.6,2.6
88.14285714,1595.142857,2.5,2.6,2.6,2.7
103.5714286,1568.857143,2.6,2.6,2.7,2.6
113.7142857,1595.142857,2.6,2.7,2.6,2.7
104.2857143,1455,2.7,2.6,2.7,2.9
117.8571429,1514.857143,2.6,2.7,2.9,3.2
144.7142857,1650.857143,2.7,2.9,3.2,3.3
140,1783.857143,2.9,3.2,3.3,3.5
160.5714286,2247.714286,3.2,3.3,3.5,3.7
157.7142857,2266.285714,3.3,3.5,3.7,4.1
206.8571429,2084.428571,3.5,3.7,4.1,4.8
240.4285714,2229.285714,3.7,4.1,4.8,5.5
211.5714286,2292.142857,4.1,4.8,5.5,5.9
513.5714286,2447.142857,4.8,5.5,5.9,5.4
606,2380,5.5,5.9,5.4,5.1
406.7142857,2433.714286,5.9,5.4,5.1,6.8
302.5714286,2080.571429,5.4,5.1,6.8,4
104.4285714,1589.142857,5.1,6.8,4,3.9
178.8571429,1986.428571,6.8,4,3.9,4
207,1823,4,3.9,4,
216,1803.857143,3.9,4,,4.1
217.7142857,1801,4,,4.1,4
213.7142857,1889.857143,,4.1,4,4
199,1803.714286,4.1,4,4,4.2
192.2857143,1686.714286,4,4,4.2,4
160.7142857,1562.714286,4,4.2,4,4.2
138.7142857,1629.142857,4.2,4,4.2,4.2
143.7142857,1570.142857,4,4.2,4.2,4.3
140.8571429,1412.857143,4.2,4.2,4.3,4
107.2857143,1366.428571,4.2,4.3,4,4.1
132.7142857,1581.428571,4.3,4,4.1,4.2
142.5714286,1394.428571,4,4.1,4.2,4.1
115.8571429,1315,4.1,4.2,4.1,4.6
123.8571429,1319.571429,4.2,4.1,4.6,4.2
96.28571429,1235.428571,4.1,4.6,4.2,4
91.42857143,1247.857143,4.6,4.2,4,4
80.57142857,1214,4.2,4,4,3.9
108.1428571,1194.857143,4,4,3.9,3.5
27,1198.714286,4,3.9,3.5,3.6
17.71428571,1217.428571,3.9,3.5,3.6,3.4
8.714285714,1236.142857,3.5,3.6,3.4,3.3
25.28571429,1170.571429,3.6,3.4,3.3,3.3
51.71428571,1187.857143,3.4,3.3,3.3,3
35.57142857,1188.714286,3.3,3.3,3,3
43.28571429,1234.142857,3.3,3,3,2.8
51.42857143,1394.285714,3,3,2.8,2.9
54.71428571,1559.571429,3,2.8,2.9,3.4
112.1428571,1326.142857,2.8,2.9,3.4,3.2
81.71428571,1284.714286,2.9,3.4,3.2,3.2
112,1780.571429,3.4,3.2,3.2,3.5
109.4285714,1736.142857,3.2,3.2,3.5,2.8
45.14285714,1267.142857,3.2,3.5,2.8,2.9
113.7142857,1686.285714,3.5,2.8,2.9,3
138.8571429,1832.285714,2.8,2.9,3,3.1
149.2857143,1662.714286,2.9,3,3.1,3.1
159.5714286,1499.428571,3,3.1,3.1,3.2
162.7142857,1435.714286,3.1,3.1,3.2,3.4
169.7142857,1413,3.1,3.2,3.4,3.5
172.1428571,1481,3.2,3.4,3.5,4
200,1503.571429,3.4,3.5,4,5.2
241.2857143,1662.714286,3.5,4,5.2,5.6
342,1729.714286,4,5.2,5.6,6.2
475.5714286,1798.428571,5.2,5.6,6.2,6.6
435.5714286,1871.857143,5.6,6.2,6.6,6.1
338.7142857,1818,6.2,6.6,6.1,5.1
276.5714286,1712.714286,6.6,6.1,5.1,7.4
195,1721,6.1,5.1,7.4,8
286.5714286,2023,5.1,7.4,8,5.7
130.1428571,2187.571429,7.4,8,5.7,4.6
134,1545,8,5.7,4.6,3.6
89.28571429,1187.857143,5.7,4.6,3.6,3.3
104,1061,4.6,3.6,3.3,2.9
109,1024.571429,3.6,3.3,2.9,2.8
98.42857143,987.4285714,3.3,2.9,2.8,2.7
87.85714286,942.2857143,2.9,2.8,2.7,2.4
97,919.1428571,2.8,2.7,2.4,2.2
35.14285714,875.5714286,2.7,2.4,2.2,2.3
44.14285714,883.2857143,2.4,2.2,2.3,2.3
44.14285714,838.5714286,2.2,2.3,2.3,2.4
52.28571429,835.1428571,2.3,2.3,2.4,2.6
62.14285714,895.5714286,2.3,2.4,2.6,2.7
35,772.1428571,2.4,2.6,2.7,2.7
26.57142857,821,2.6,2.7,2.7,2.9
70,952.2857143,2.7,2.7,2.9,2.9
62,997.5714286,2.7,2.9,2.9,
34.57142857,1058,2.9,2.9,,3.3
25.57142857,1084.142857,2.9,,3.3,3.3
71,1122.142857,,3.3,3.3,2.8
42.42857143,1361.857143,3.3,3.3,2.8,2.7
52,1876.142857,3.3,2.8,2.7,3.2
26.14285714,1219.428571,2.8,2.7,3.2,2.7
34,1111.428571,2.7,3.2,2.7,2.6
8.714285714,1108.142857,3.2,2.7,2.6,
34,1160.285714,2.7,2.6,,2.7
9,1129.142857,2.6,,2.7,2.7
25.28571429,1139.285714,,2.7,2.7,2.6
51.14285714,1118.857143,2.7,2.7,2.6,2.7
52.85714286,1466,2.7,2.6,2.7,
87.28571429,1291,2.6,2.7,,3.7
100.7142857,1252,2.7,,3.7,3.9
119,1421,,3.7,3.9,3.4
135.8571429,1732.428571,3.7,3.9,3.4,3.6
131.1428571,1889.428571,3.9,3.4,3.6,3.3
110,1572.857143,3.4,3.6,3.3,3.1
117.1428571,1870.142857,3.6,3.3,3.1,3.3
146.2857143,1689.428571,3.3,3.1,3.3,3.6
151.8571429,1592.428571,3.1,3.3,3.6,3.6
149.7142857,1489.714286,3.3,3.6,3.6,3.8
151.5714286,1374.714286,3.6,3.6,3.8,
142.2857143,1366.285714,3.6,3.8,,3.5
145.7142857,1391.714286,3.8,,3.5,3.4
144.2857143,1399.714286,,3.5,3.4,3.5
131.8571429,1369.571429,3.5,3.4,3.5,3.4
139.7142857,1470.142857,3.4,3.5,3.4,3.5
130.4285714,1602.285714,3.5,3.4,3.5,3.6
126.7142857,1640.285714,3.4,3.5,3.6,3.4
107.7142857,1574.857143,3.5,3.6,3.4,3.5
102,1931.428571,3.6,3.4,3.5,3.4
108.5714286,2171,3.4,3.5,3.4,3
71.71428571,1658.714286,3.5,3.4,3,2.6
62.28571429,1283.714286,3.4,3,2.6,3.2
8.428571429,1121.714286,3,2.6,3.2,2.7
42.71428571,951.8571429,2.6,3.2,2.7,2.2
57.57142857,1030.714286,3.2,2.7,2.2,2.4
95.42857143,1064.142857,2.7,2.2,2.4,2.4
105.2857143,1072.428571,2.2,2.4,2.4,2.8
105.7142857,1097,2.4,2.4,2.8,2.9
126,1263.857143,2.4,2.8,2.9,3
105,1489.857143,2.8,2.9,3,3
108,1537.714286,2.9,3,3,3.1
70.14285714,1586.142857,3,3,3.1,3.4
99.42857143,1541.714286,3,3.1,3.4,3.7
100.7142857,1593.428571,3.1,3.4,3.7,3.9
81,1347.714286,3.4,3.7,3.9,3.7
78.71428571,1268.428571,3.7,3.9,3.7,4
72.42857143,1200,3.9,3.7,4,4.2
54.85714286,1134.428571,3.7,4,4.2,4.3
71,1172.857143,4,4.2,4.3,4.4
65.57142857,1144.142857,4.2,4.3,4.4,4.2
8.714285714,1105,4.3,4.4,4.2,4
17.85714286,1111.142857,4.4,4.2,4,3.8
17.85714286,1144.571429,4.2,4,3.8,3.7
8.714285714,1056.142857,4,3.8,3.7,3.6
8.428571429,1007.857143,3.8,3.7,3.6,3.5
0,1042.142857,3.7,3.6,3.5,3.3
0,1065,3.6,3.5,3.3,3.2
8.714285714,1123,3.5,3.3,3.2,3
17.42857143,1166.714286,3.3,3.2,3,2.8
34,1108.714286,3.2,3,2.8,2.6
17.42857143,1092.857143,3,2.8,2.6,2.7
28.28571429,1091,2.8,2.6,2.7,3.1
53.85714286,1082.571429,2.6,2.7,3.1,3.5
61.57142857,1126.857143,2.7,3.1,3.5,3.8
63.42857143,1332.285714,3.1,3.5,3.8,3.5
72.71428571,1574.857143,3.5,3.8,3.5,3.4
55.71428571,1549.571429,3.8,3.5,3.4,2.7
74,1754.571429,3.5,3.4,2.7,3
121.1428571,1761,3.4,2.7,3,3.5
121.8571429,1890.857143,2.7,3,3.5,3.5
146,1887.285714,3,3.5,3.5,3.4
128.4285714,1857.571429,3.5,3.5,3.4,3.4
115.5714286,1748.571429,3.5,3.4,3.4,3.4
110.8571429,1489.571429,3.4,3.4,3.4,3.8
129.1428571,1512.142857,3.4,3.4,3.8,3.9
115.2857143,1478.285714,3.4,3.8,3.9,
141.8571429,1555,3.8,3.9,,4
149.7142857,1583,3.9,,4,4
120.8571429,1523.142857,,4,4,4.3
119.2857143,1509,4,4,4.3,3.9
118.2857143,1561.285714,4,4.3,3.9,3.5
107.1428571,1503,4.3,3.9,3.5,2.9
76.28571429,1381.714286,3.9,3.5,2.9,3.9
63.42857143,1224.428571,3.5,2.9,3.9,2.5
0,1059.285714,2.9,3.9,2.5,2.6
36.85714286,1270.571429,3.9,2.5,2.6,3.1
65.28571429,1200,2.5,2.6,3.1,4
114.5714286,1213.285714,2.6,3.1,4,4
124.8571429,1235.142857,3.1,4,4,4.3
127.8571429,1322.428571,4,4,4.3,3.7
95.85714286,1383.428571,4,4.3,3.7,3.6
93.57142857,1297.428571,4.3,3.7,3.6,3.7
47.14285714,1202,3.7,3.6,3.7,
45,1139.714286,3.6,3.7,,
,,3.7,,,
